Gene % GC content	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene type	Gene stable ID
38.09	78266940	78294731	3	lncRNA	ENSG00000240241
49.51	15111815	15153618	1	lncRNA	ENSG00000175147
50.00	18990888	19034023	19	protein_coding	ENSG00000064607
50.31	40367952	40368438	17	processed_pseudogene	ENSG00000264655
37.67	16620734	16653856	17	protein_coding	ENSG00000197566
38.80	80163327	80164795	3	processed_pseudogene	ENSG00000271389
39.74	70125070	70126609	3	processed_pseudogene	ENSG00000271034
39.11	65359268	65359717	3	lncRNA	ENSG00000270059
34.73	83937045	83938236	3	processed_pseudogene	ENSG00000242195
48.17	19432545	19436075	22	protein_coding	ENSG00000185608
33.01	98981058	98983096	3	lncRNA	ENSG00000240476
41.23	88601061	88601402	3	processed_pseudogene	ENSG00000242365
66.74	75658534	75659014	3	processed_pseudogene	ENSG00000241622
48.89	80442081	80442305	3	unprocessed_pseudogene	ENSG00000242586
68.39	137551879	137552555	9	protein_coding	ENSG00000182154
38.31	99507187	99529985	3	lncRNA	ENSG00000243089
50.68	3443649	3486953	16	protein_coding	ENSG00000122390
44.56	20028179	20091911	1	protein_coding	ENSG00000127472
39.06	64561322	64592757	3	lncRNA	ENSG00000241158
52.78	137554444	137578925	9	protein_coding	ENSG00000148399
34.90	131379717	131591825	4	lncRNA	ENSG00000250102
58.95	18912777	18936553	22	protein_coding	ENSG00000100033
58.10	79420836	79422780	18	TEC	ENSG00000279637
60.17	79470120	79470940	18	lncRNA	ENSG00000275186
50.72	79496058	79498348	18	TEC	ENSG00000279981
35.93	70397931	70410195	4	protein_coding	ENSG00000171199
46.54	79515798	79516057	18	TEC	ENSG00000279397
38.66	65766460	65767398	15	lncRNA	ENSG00000261544
40.46	65771176	65772139	15	processed_pseudogene	ENSG00000259924
48.90	65816302	65817481	15	processed_pseudogene	ENSG00000249271
53.38	79679803	79754503	18	protein_coding	ENSG00000060069
47.93	75624899	75625188	3	processed_pseudogene	ENSG00000282912
37.43	75653561	75654773	3	processed_pseudogene	ENSG00000241532
38.67	65843484	65843558	15	snRNA	ENSG00000283249
45.71	32175247	32175351	15	misc_RNA	ENSG00000201084
47.29	32182551	32186475	15	TEC	ENSG00000279912
54.33	30573471	30577000	17	lncRNA	ENSG00000231421
41.52	32250302	32256125	15	processed_pseudogene	ENSG00000271078
34.59	89107621	89482134	3	protein_coding	ENSG00000044524
51.27	90282560	90284172	11	processed_pseudogene	ENSG00000214391
50.00	93083598	93083675	12	processed_pseudogene	ENSG00000256393
42.77	94167528	94187724	12	lncRNA	ENSG00000258035
30.54	89576913	89577652	11	TEC	ENSG00000280201
44.86	32284152	32284258	15	snRNA	ENSG00000207257
67.50	32313126	32315654	15	processed_pseudogene	ENSG00000260211
35.40	90251204	90915052	11	lncRNA	ENSG00000261645
35.51	97334635	97633823	4	lncRNA	ENSG00000254044
53.26	4433940	4488208	17	protein_coding	ENSG00000182557
55.47	32359538	32367784	15	lncRNA	ENSG00000260642
42.88	71849228	71850428	12	processed_pseudogene	ENSG00000257802
57.54	32384937	32387484	15	unprocessed_pseudogene	ENSG00000261491
39.25	145830456	145832980	4	TEC	ENSG00000279481
45.53	94277758	94282844	12	lncRNA	ENSG00000258365
43.95	125723267	125724217	4	processed_pseudogene	ENSG00000249555
39.42	84147304	84154338	12	lncRNA	ENSG00000285191
45.09	131768233	131768578	4	processed_pseudogene	ENSG00000249416
52.21	32394365	32394613	15	misc_RNA	ENSG00000275776
37.90	95803097	95823307	12	lncRNA	ENSG00000258292
41.69	32398956	32435233	15	lncRNA	ENSG00000215304
31.95	130808507	130811933	4	TEC	ENSG00000280059
47.88	57837092	57842745	12	lncRNA	ENSG00000257953
42.25	130494673	130495285	4	processed_pseudogene	ENSG00000248877
35.90	124149377	124252044	4	lncRNA	ENSG00000249837
42.91	53142053	53142327	12	processed_pseudogene	ENSG00000258016
39.63	98113014	98292445	12	lncRNA	ENSG00000258312
52.64	49016682	49017154	4	processed_pseudogene	ENSG00000225455
53.34	135371177	135371924	4	processed_pseudogene	ENSG00000250834
40.95	89753982	89754953	11	lncRNA	ENSG00000254971
51.58	29236516	29326813	1	protein_coding	ENSG00000060656
36.70	71034122	71104526	12	lncRNA	ENSG00000257454
53.46	80957317	80957634	11	processed_pseudogene	ENSG00000254437
37.61	75341279	75359024	4	lncRNA	ENSG00000251454
40.84	90125658	90126061	11	TEC	ENSG00000279299
38.49	41829898	41932592	12	lncRNA	ENSG00000257239
50.59	131112748	131113255	4	processed_pseudogene	ENSG00000250213
44.36	32426288	32426420	15	snoRNA	ENSG00000206987
38.84	89293745	89294246	11	processed_pseudogene	ENSG00000197692
58.76	68487687	68487863	12	processed_pseudogene	ENSG00000256917
54.52	32436503	32439767	15	unprocessed_pseudogene	ENSG00000261708
47.44	101208905	101209450	11	transcribed_processed_pseudogene	ENSG00000255504
36.15	100395341	100880126	4	protein_coding	ENSG00000164035
36.63	81821272	82718299	11	lncRNA	ENSG00000245832
49.06	32441914	32455634	15	protein_coding	ENSG00000206127
33.34	85036314	85264457	12	protein_coding	ENSG00000133640
48.52	113857345	113863475	6	protein_coding	ENSG00000277443
40.47	122789049	122809720	6	protein_coding	ENSG00000172594
34.34	35895689	35896020	5	TEC	ENSG00000279737
45.48	123706207	123940267	10	protein_coding	ENSG00000121898
38.45	109687802	109688329	5	lncRNA	ENSG00000271849
39.47	54313564	54415238	5	lncRNA	ENSG00000249069
40.69	89548130	89548795	11	TEC	ENSG00000279045
40.11	79604967	79612300	11	lncRNA	ENSG00000255209
48.81	439978	445939	17	protein_coding	ENSG00000183688
37.34	93726654	93729805	11	TEC	ENSG00000279696
39.00	77717712	77718411	11	lncRNA	ENSG00000254985
34.98	87718667	87721233	11	TEC	ENSG00000279341
42.04	77589391	77610356	11	protein_coding	ENSG00000178301
56.20	19112000	19112636	17	lncRNA	ENSG00000262202
49.22	31830731	31831750	17	lncRNA	ENSG00000265046
43.99	27057399	27058221	17	processed_pseudogene	ENSG00000264837
37.50	40627356	40665141	17	protein_coding	ENSG00000264058
46.26	91843687	91844529	5	processed_pseudogene	ENSG00000248826
45.84	125966777	125968085	5	processed_pseudogene	ENSG00000241888
38.60	65251127	65251784	5	processed_pseudogene	ENSG00000250732
37.32	98409675	98410100	5	processed_pseudogene	ENSG00000249990
37.17	89704164	89704658	11	TEC	ENSG00000279163
40.45	93998643	93999218	11	processed_pseudogene	ENSG00000256752
66.99	90972316	90972521	11	TEC	ENSG00000280085
48.30	104036640	104039196	11	protein_coding	ENSG00000170967
36.59	115841592	115914081	5	protein_coding	ENSG00000177879
51.73	118761856	118762201	8	processed_pseudogene	ENSG00000242206
49.55	30557732	30558502	17	lncRNA	ENSG00000266775
58.02	137582081	137590512	9	protein_coding	ENSG00000165724
46.17	93609760	93610333	11	processed_pseudogene	ENSG00000255515
36.76	97222644	97259987	11	lncRNA	ENSG00000255039
38.41	136475862	136476150	6	processed_pseudogene	ENSG00000218424
53.96	42780610	42797066	17	protein_coding	ENSG00000126562
41.61	94874052	94925521	11	lncRNA	ENSG00000256469
37.16	67952046	68237032	8	protein_coding	ENSG00000046889
41.80	139135080	139180802	6	protein_coding	ENSG00000112406
35.29	89177875	89295759	11	protein_coding	ENSG00000077498
37.62	95286318	95286838	12	processed_pseudogene	ENSG00000257666
43.75	99929392	99948620	7	lncRNA	ENSG00000237640
38.85	74248637	74283669	12	lncRNA	ENSG00000257183
61.38	126257921	126258355	6	processed_pseudogene	ENSG00000213133
53.26	32446674	32446964	15	misc_RNA	ENSG00000274076
39.77	63388808	63393657	7	lncRNA	ENSG00000232817
52.08	32461666	32461809	15	processed_pseudogene	ENSG00000270789
55.13	32489267	32491586	15	unprocessed_pseudogene	ENSG00000261375
37.88	53787167	53787298	7	processed_pseudogene	ENSG00000232418
54.72	43274159	43274582	7	processed_pseudogene	ENSG00000213717
42.57	149977471	149979105	6	processed_pseudogene	ENSG00000219298
41.22	22840432	22840921	19	processed_pseudogene	ENSG00000271655
35.31	56380976	56381312	7	processed_pseudogene	ENSG00000224370
38.79	32494003	32500346	15	unprocessed_pseudogene	ENSG00000254912
37.81	116494989	116545684	6	protein_coding	ENSG00000173626
50.89	20414987	20415098	14	rRNA_pseudogene	ENSG00000200225
48.67	20425852	20436166	14	protein_coding	ENSG00000185271
44.01	21569738	21587322	19	lncRNA	ENSG00000268555
37.55	94022833	94066661	7	lncRNA	ENSG00000236453
53.36	77784610	77785070	15	TEC	ENSG00000280359
56.55	77787193	77788674	15	lncRNA	ENSG00000259213
62.08	97938439	97938794	7	processed_pseudogene	ENSG00000232097
53.87	77916522	77922019	15	lncRNA	ENSG00000261244
39.31	97437518	97437896	7	processed_pseudogene	ENSG00000226046
52.08	77916718	77916982	15	misc_RNA	ENSG00000242066
37.64	70638073	70920738	12	protein_coding	ENSG00000153233
36.96	23380317	23380876	19	processed_pseudogene	ENSG00000269431
43.29	77954075	77963654	15	lncRNA	ENSG00000261403
43.40	88512029	88513187	7	processed_pseudogene	ENSG00000235639
60.75	137605685	137615360	9	protein_coding	ENSG00000197070
60.85	77993405	77995289	15	lncRNA	ENSG00000259792
43.11	98385801	98386584	7	processed_pseudogene	ENSG00000214389
44.61	22699352	22699685	19	processed_pseudogene	ENSG00000241282
35.71	78091172	78091297	15	snoRNA	ENSG00000199633
39.67	132769370	132813339	6	protein_coding	ENSG00000146409
39.29	95359872	95396375	7	protein_coding	ENSG00000105852
51.26	78104606	78131535	15	protein_coding	ENSG00000136425
40.32	21276023	21276332	19	processed_pseudogene	ENSG00000268747
45.39	23015059	23031818	19	lncRNA	ENSG00000261558
36.98	25174802	25602229	10	protein_coding	ENSG00000151025
40.47	91114724	91115951	11	processed_pseudogene	ENSG00000254677
41.08	36844831	36920887	13	protein_coding	ENSG00000120693
56.45	22770375	22770622	19	unprocessed_pseudogene	ENSG00000279966
46.79	93587703	93588559	11	TEC	ENSG00000279454
49.19	22137931	22138981	19	processed_pseudogene	ENSG00000268140
38.08	98676391	98683735	11	lncRNA	ENSG00000254599
45.08	20446401	20455089	14	protein_coding	ENSG00000092094
56.49	22603269	22608501	19	lncRNA	ENSG00000268823
43.45	107642887	107643871	11	unprocessed_pseudogene	ENSG00000254758
75.44	22925377	22925547	19	unprocessed_pseudogene	ENSG00000269458
51.05	23384530	23385293	19	processed_pseudogene	ENSG00000268992
51.76	22770937	22771191	19	unprocessed_pseudogene	ENSG00000270518
37.29	22902538	22914340	19	lncRNA	ENSG00000268296
39.04	102711796	102727050	11	protein_coding	ENSG00000118113
37.60	101222546	101320575	3	protein_coding	ENSG00000081148
42.60	22298977	22299868	19	processed_pseudogene	ENSG00000270191
48.29	28394851	28396428	19	lncRNA	ENSG00000267238
43.46	22362589	22362825	19	processed_pseudogene	ENSG00000268685
50.70	21149648	21150438	19	processed_pseudogene	ENSG00000240522
32.90	54943167	54945099	6	lncRNA	ENSG00000261116
47.60	110706362	110706882	6	processed_pseudogene	ENSG00000219150
45.56	22243254	22245347	19	lncRNA	ENSG00000267872
41.62	86970466	86971193	6	processed_pseudogene	ENSG00000214457
39.78	20553792	20661583	19	lncRNA	ENSG00000269110
46.47	169788790	169799549	6	lncRNA	ENSG00000229214
42.48	148237585	148283408	6	lncRNA	ENSG00000224658
41.38	47231532	47309905	6	protein_coding	ENSG00000146072
54.54	19145567	19192131	19	protein_coding	ENSG00000213999
42.22	44680173	45068510	18	protein_coding	ENSG00000152217
48.08	32188323	32188817	10	processed_pseudogene	ENSG00000217094
40.88	96212279	96213100	4	processed_pseudogene	ENSG00000250655
37.00	127094410	127470569	4	lncRNA	ENSG00000248491
52.41	48723185	48724758	17	protein_coding	ENSG00000229637
44.91	97458324	97498794	10	protein_coding	ENSG00000155229
46.63	111572236	111572398	5	processed_pseudogene	ENSG00000251099
38.40	138298856	138312658	4	lncRNA	ENSG00000248397
35.70	91368631	91383317	5	protein_coding	ENSG00000113369
56.74	134952259	134952889	4	processed_pseudogene	ENSG00000241411
37.60	138057464	138178177	4	lncRNA	ENSG00000250033
49.86	110712736	110723339	13	protein_coding	ENSG00000153487
42.53	134917393	134950115	6	protein_coding	ENSG00000118514
59.40	30567700	30571748	17	unprocessed_pseudogene	ENSG00000231870
32.37	68985009	68988533	4	unprocessed_pseudogene	ENSG00000249735
46.30	110762674	110763133	13	processed_pseudogene	ENSG00000225239
46.79	19082437	19084834	17	processed_pseudogene	ENSG00000265746
49.55	110809676	110813084	13	lncRNA	ENSG00000259831
49.37	110863987	110870330	13	lncRNA	ENSG00000255874
38.20	32315086	32400268	13	protein_coding	ENSG00000139618
32.60	46035769	46124054	4	protein_coding	ENSG00000163285
53.11	50627032	50631940	17	lncRNA	ENSG00000251239
58.23	30624413	30625494	17	processed_pseudogene	ENSG00000264943
47.56	17674026	17677688	17	lncRNA	ENSG00000223979
42.50	99802699	99806058	3	lncRNA	ENSG00000273374
39.34	81208193	81208914	3	lncRNA	ENSG00000242145
37.41	98233651	98457898	3	lncRNA	ENSG00000251088
42.31	87917948	87917999	11	processed_pseudogene	ENSG00000254794
36.88	78525101	78525485	3	processed_pseudogene	ENSG00000239226
30.47	89545128	89545744	11	TEC	ENSG00000279697
36.40	87847259	88045608	11	lncRNA	ENSG00000285835
48.76	137605744	137711018	9	lncRNA	ENSG00000283411
39.32	90261414	90261708	3	processed_pseudogene	ENSG00000271024
57.30	137638128	137638408	9	misc_RNA	ENSG00000274841
39.21	99500347	99505508	3	lncRNA	ENSG00000243296
42.35	137640986	137641547	9	processed_pseudogene	ENSG00000233998
65.78	87944276	87945023	9	processed_pseudogene	ENSG00000238110
44.10	95171920	95172377	3	processed_pseudogene	ENSG00000244048
42.06	87998229	87998335	9	snRNA	ENSG00000271923
39.65	50719565	50756219	17	protein_coding	ENSG00000108848
53.24	88016300	88016793	9	processed_pseudogene	ENSG00000217716
53.65	75629993	75634057	3	unprocessed_pseudogene	ENSG00000282511
45.15	88066915	88068037	9	processed_pseudogene	ENSG00000225385
57.94	84244003	84245488	4	processed_pseudogene	ENSG00000214980
34.98	90131515	90192894	11	protein_coding	ENSG00000077616
42.00	88144851	88145850	9	processed_pseudogene	ENSG00000276535
48.76	88177695	88178578	9	TEC	ENSG00000279154
48.00	88180673	88181447	9	processed_pseudogene	ENSG00000204429
50.41	101127104	101139247	7	protein_coding	ENSG00000106366
36.25	134196333	134201789	4	protein_coding	ENSG00000254535
40.03	88187735	88190202	9	processed_pseudogene	ENSG00000229288
44.36	16203935	16410990	9	lncRNA	ENSG00000205549
45.93	135045464	135046850	4	processed_pseudogene	ENSG00000250144
50.40	103630661	103630912	3	processed_pseudogene	ENSG00000243195
58.55	104502700	104503266	3	processed_pseudogene	ENSG00000243635
43.40	98251688	98261630	4	lncRNA	ENSG00000214559
31.80	86481943	86496996	3	lncRNA	ENSG00000241328
46.57	25279529	25282674	22	lncRNA	ENSG00000233577
38.49	16473188	16476237	9	lncRNA	ENSG00000231756
40.94	86823468	86849384	4	protein_coding	ENSG00000145283
35.13	78038705	78046794	3	lncRNA	ENSG00000244461
41.12	16625676	16626390	9	lncRNA	ENSG00000230694
61.04	16726814	16727524	9	lncRNA	ENSG00000234779
50.49	212824	215893	9	lncRNA	ENSG00000183784
43.24	25282613	25320086	22	lncRNA	ENSG00000285968
40.53	25282943	25300791	22	transcribed_unprocessed_pseudogene	ENSG00000285690
41.37	267966	273002	9	lncRNA	ENSG00000235880
43.38	58044226	58401540	18	protein_coding	ENSG00000049759
61.48	25318256	25320080	22	unprocessed_pseudogene	ENSG00000206066
42.41	452492	492248	9	lncRNA	ENSG00000227155
36.47	100260992	100325251	3	protein_coding	ENSG00000036054
45.39	25327252	25339975	22	unprocessed_pseudogene	ENSG00000230637
37.09	66383306	66392450	2	lncRNA	ENSG00000232164
42.19	96283357	96283804	7	processed_pseudogene	ENSG00000237551
38.73	64111752	64112572	7	unprocessed_pseudogene	ENSG00000235646
35.23	110738136	110765161	5	protein_coding	ENSG00000164209
41.79	25349543	25350322	22	processed_pseudogene	ENSG00000231466
35.79	54556970	54571726	7	lncRNA	ENSG00000224223
50.36	53486144	53486280	2	processed_pseudogene	ENSG00000223897
44.46	78131498	78171945	15	protein_coding	ENSG00000166411
48.73	25434324	25435070	22	lncRNA	ENSG00000272942
50.00	25436312	25436915	22	lncRNA	ENSG00000272798
56.56	25437306	25437823	22	IG_V_pseudogene	ENSG00000271138
51.76	73113018	73115907	2	lncRNA	ENSG00000272702
54.55	25455646	25455711	22	miRNA	ENSG00000277872
42.98	95018163	95018397	7	processed_pseudogene	ENSG00000271159
47.07	25476218	25479971	22	lncRNA	ENSG00000272977
37.16	89882353	90211635	7	lncRNA	ENSG00000227646
54.30	39021113	39033277	22	protein_coding	ENSG00000243811
41.71	487774	495610	9	lncRNA	ENSG00000228115
39.49	84371393	84380189	4	lncRNA	ENSG00000248749
40.31	95297676	95324532	7	protein_coding	ENSG00000005421
40.00	558826	558930	9	snRNA	ENSG00000202172
42.23	659986	660326	9	processed_pseudogene	ENSG00000229875
37.16	57595940	57605872	4	lncRNA	ENSG00000251049
39.93	673478	685555	9	lncRNA	ENSG00000227914
41.93	69644425	69827112	2	protein_coding	ENSG00000196975
41.04	20451305	20451918	14	lncRNA	ENSG00000258515
46.84	125466939	125541373	8	lncRNA	ENSG00000253111
37.11	127623271	127726737	4	protein_coding	ENSG00000164066
43.16	841690	969090	9	protein_coding	ENSG00000137090
54.92	63440766	63443580	6	unprocessed_pseudogene	ENSG00000218048
55.32	113953705	113974076	13	protein_coding	ENSG00000283199
38.83	164827732	164832114	6	lncRNA	ENSG00000227455
45.79	47592147	47592609	8	processed_pseudogene	ENSG00000254065
48.69	119480279	119480775	8	processed_pseudogene	ENSG00000254037
62.08	113376669	113377227	8	processed_pseudogene	ENSG00000227514
47.06	20455191	20457772	14	protein_coding	ENSG00000100823
36.63	88609897	88963618	6	protein_coding	ENSG00000111880
56.73	113977783	114132623	13	protein_coding	ENSG00000185989
37.14	118995452	119108455	8	protein_coding	ENSG00000184374
55.55	153872221	153909223	X	protein_coding	ENSG00000284987
51.37	760080	776015	20	protein_coding	ENSG00000101276
60.98	153880672	153888990	X	lncRNA	ENSG00000273769
35.36	23479762	23480468	19	unprocessed_pseudogene	ENSG00000275201
36.78	23125665	23128543	19	processed_pseudogene	ENSG00000268105
43.83	86016819	86017126	8	processed_pseudogene	ENSG00000227753
46.82	18077923	18105396	22	protein_coding	ENSG00000215193
51.65	122769274	122770150	8	processed_pseudogene	ENSG00000235165
52.24	21709522	21710191	19	processed_pseudogene	ENSG00000268535
48.01	114791653	114791929	8	processed_pseudogene	ENSG00000253756
55.76	153935269	153944687	X	protein_coding	ENSG00000102032
39.12	21142024	21196053	19	protein_coding	ENSG00000196705
44.36	976655	991732	9	protein_coding	ENSG00000064218
39.82	123041968	123152153	8	protein_coding	ENSG00000156787
47.64	48821688	48849458	20	lncRNA	ENSG00000278231
43.25	48921711	49036693	20	protein_coding	ENSG00000124198
37.50	93375556	93375667	9	snRNA	ENSG00000200570
52.76	56175634	56176412	7	processed_pseudogene	ENSG00000233028
41.07	93417855	93417966	9	misc_RNA	ENSG00000201074
44.26	93430342	93431299	9	lncRNA	ENSG00000237385
44.93	93431441	93453581	9	protein_coding	ENSG00000188938
34.42	81699010	81770438	7	protein_coding	ENSG00000019991
37.51	73686089	74134404	13	protein_coding	ENSG00000118922
47.30	16551773	16552328	19	lncRNA	ENSG00000268309
54.08	17267418	17282966	19	protein_coding	ENSG00000269307
41.31	28509238	28518728	19	lncRNA	ENSG00000267423
42.81	22203128	22204003	19	processed_pseudogene	ENSG00000268079
42.94	36431520	36442870	13	protein_coding	ENSG00000133101
49.96	15613247	15614553	19	lncRNA	ENSG00000266951
46.56	15515342	15516836	19	unprocessed_pseudogene	ENSG00000269765
56.12	131797415	131797929	5	TEC	ENSG00000279584
41.02	27638483	27646483	19	lncRNA	ENSG00000267696
38.83	117031200	117038569	5	lncRNA	ENSG00000250949
44.34	22457329	22458212	19	processed_pseudogene	ENSG00000268717
39.44	124829472	124830290	5	lncRNA	ENSG00000248443
43.64	106415576	106417241	5	processed_pseudogene	ENSG00000251204
43.68	28437060	28535277	19	lncRNA	ENSG00000267243
53.37	53413504	53414260	5	processed_pseudogene	ENSG00000240052
44.31	126751963	126776486	5	lncRNA	ENSG00000251072
46.49	20774113	20787720	22	protein_coding	ENSG00000099937
47.56	54399439	54400033	5	processed_pseudogene	ENSG00000251597
33.58	129299175	129305022	4	lncRNA	ENSG00000250193
37.28	67417305	67468251	4	lncRNA	ENSG00000250075
39.62	20351502	20352079	19	processed_pseudogene	ENSG00000271704
46.49	92889387	92890840	5	processed_pseudogene	ENSG00000249958
43.69	109883182	109884751	5	lncRNA	ENSG00000254106
55.81	22532626	22533494	19	lncRNA	ENSG00000269364
41.30	127215159	127229828	5	lncRNA	ENSG00000283897
35.19	93594841	93594894	9	miRNA	ENSG00000283146
36.69	23290849	23291017	19	unprocessed_pseudogene	ENSG00000268148
49.95	120902393	120929173	9	protein_coding	ENSG00000056558
51.57	97916353	97917401	4	processed_pseudogene	ENSG00000250293
40.81	22065828	22066398	19	processed_pseudogene	ENSG00000269742
39.99	119126782	119128444	5	processed_pseudogene	ENSG00000248885
55.98	138560704	138561941	4	processed_pseudogene	ENSG00000248795
39.36	28065267	28125430	19	lncRNA	ENSG00000267509
39.94	54836041	54845470	4	lncRNA	ENSG00000249727
42.33	126776623	126837020	5	protein_coding	ENSG00000113368
36.16	78008512	78008688	4	processed_pseudogene	ENSG00000249072
34.00	136097797	136099240	4	lncRNA	ENSG00000261166
41.75	22391019	22532485	19	protein_coding	ENSG00000197360
59.50	153947557	153971818	X	protein_coding	ENSG00000172534
34.84	132591064	132678503	4	lncRNA	ENSG00000251398
34.19	134026665	134327977	4	lncRNA	ENSG00000251199
48.84	20859007	20891214	22	protein_coding	ENSG00000099940
38.95	61211652	61212203	4	processed_pseudogene	ENSG00000241261
39.17	21291160	21329425	19	protein_coding	ENSG00000182141
49.89	132592084	132592536	4	processed_pseudogene	ENSG00000249038
33.84	116489364	116515619	4	lncRNA	ENSG00000250791
44.77	128500527	128501176	6	lncRNA	ENSG00000224733
38.86	94446740	94447179	6	processed_pseudogene	ENSG00000216853
34.72	50093389	50181007	6	lncRNA	ENSG00000226733
42.16	140128015	140134565	4	lncRNA	ENSG00000250698
51.11	151099529	151099933	6	processed_pseudogene	ENSG00000219747
62.44	110645699	110646558	6	processed_pseudogene	ENSG00000213150
45.86	108856400	108856737	6	processed_pseudogene	ENSG00000218872
43.03	149977922	149978416	6	processed_pseudogene	ENSG00000231120
31.50	106100140	106100593	6	lncRNA	ENSG00000269919
43.00	134897874	134898759	6	processed_pseudogene	ENSG00000213117
38.17	21225098	21245241	19	unprocessed_pseudogene	ENSG00000269839
51.69	3458071	3515564	16	lncRNA	ENSG00000263212
35.63	129093317	129116640	4	protein_coding	ENSG00000151470
54.43	29489775	29526948	19	lncRNA	ENSG00000266248
65.17	3485381	3485469	16	miRNA	ENSG00000273776
50.22	28869507	28879176	19	lncRNA	ENSG00000267617
36.30	63797189	63798031	6	processed_pseudogene	ENSG00000218813
62.86	3493484	3495489	16	protein_coding	ENSG00000215131
58.87	23204010	23204556	19	processed_pseudogene	ENSG00000269471
41.44	153667318	153668106	6	processed_pseudogene	ENSG00000217044
39.21	20416514	20417069	19	processed_pseudogene	ENSG00000268174
45.95	63227485	63227743	6	processed_pseudogene	ENSG00000219940
50.00	36490078	36490441	13	processed_pseudogene	ENSG00000223383
56.68	121203159	121203435	9	misc_RNA	ENSG00000243738
49.32	22140532	22141117	19	processed_pseudogene	ENSG00000269575
51.00	19173772	19181824	13	protein_coding	ENSG00000198033
44.91	121238117	121240089	9	processed_pseudogene	ENSG00000214651
52.08	27892495	27898927	19	unprocessed_pseudogene	ENSG00000267389
52.06	121279863	121282730	9	lncRNA	ENSG00000239593
44.95	20889206	20891214	22	lncRNA	ENSG00000272600
38.71	132891924	132893819	6	TEC	ENSG00000279960
46.62	122859678	122859988	6	processed_pseudogene	ENSG00000232362
52.28	121280768	121285530	9	lncRNA	ENSG00000235865
57.89	152959359	152959605	6	processed_pseudogene	ENSG00000220745
45.77	20917407	20953747	22	protein_coding	ENSG00000099942
40.74	101125436	101125921	9	processed_pseudogene	ENSG00000238143
40.35	101322477	101322533	9	snoRNA	ENSG00000253041
44.51	101334084	101339347	9	unitary_pseudogene	ENSG00000227411
35.79	24098425	24098980	19	processed_pseudogene	ENSG00000268058
54.88	101356466	101356844	9	processed_pseudogene	ENSG00000236763
58.98	3496201	3496768	16	processed_pseudogene	ENSG00000240311
40.90	89820082	89826922	11	unprocessed_pseudogene	ENSG00000250946
60.29	22708834	22709314	19	processed_pseudogene	ENSG00000270475
39.72	101358932	101361242	9	processed_pseudogene	ENSG00000230328
43.69	28491864	28632728	19	lncRNA	ENSG00000266893
43.02	101375344	101376603	9	processed_pseudogene	ENSG00000234502
35.68	101387633	101398618	9	protein_coding	ENSG00000136897
40.14	22174766	22175191	19	unprocessed_pseudogene	ENSG00000269345
44.19	41033627	41097787	6	protein_coding	ENSG00000124596
40.35	27918943	27929370	19	transcribed_unprocessed_pseudogene	ENSG00000267630
45.57	3500976	3539048	16	protein_coding	ENSG00000103351
37.24	88061774	88098147	11	lncRNA	ENSG00000255102
38.85	91382909	91383289	11	TEC	ENSG00000280093
39.22	102691487	102705769	11	protein_coding	ENSG00000137675
42.74	28435388	28727680	19	lncRNA	ENSG00000283403
31.58	101449801	101449933	9	processed_pseudogene	ENSG00000270982
42.62	101468349	101482199	9	lncRNA	ENSG00000225376
58.40	20979462	20998121	22	lncRNA	ENSG00000285314
39.12	101473170	101533537	9	protein_coding	ENSG00000165152
37.83	22128627	22130318	19	processed_pseudogene	ENSG00000269505
40.33	49912702	49936490	13	protein_coding	ENSG00000123178
38.60	23236308	23236851	19	processed_pseudogene	ENSG00000268469
41.52	23075210	23147221	19	protein_coding	ENSG00000183850
62.20	20999104	21002196	22	protein_coding	ENSG00000184436
43.21	101501643	101501885	9	processed_pseudogene	ENSG00000233055
38.43	100363431	100401089	3	protein_coding	ENSG00000154174
38.17	101533853	101563344	9	protein_coding	ENSG00000155827
31.29	30028741	30029916	19	lncRNA	ENSG00000267006
36.27	22685167	22686732	19	unprocessed_pseudogene	ENSG00000198153
43.76	24078481	24080669	19	TEC	ENSG00000279425
58.50	19254756	19262804	19	protein_coding	ENSG00000187664
39.57	52132639	52159597	13	protein_coding	ENSG00000136098
43.76	35972428	35989007	11	lncRNA	ENSG00000255256
55.18	107176286	107177530	11	processed_pseudogene	ENSG00000255353
47.97	28418483	28429490	19	lncRNA	ENSG00000260725
44.35	22368599	22368952	19	processed_pseudogene	ENSG00000236312
54.20	81919995	81920387	4	processed_pseudogene	ENSG00000248448
38.07	100687288	100993941	11	protein_coding	ENSG00000165895
38.48	111662621	111997464	5	protein_coding	ENSG00000134986
44.48	32390050	32405560	19	lncRNA	ENSG00000267213
33.50	148819351	148819956	4	TEC	ENSG00000279016
53.87	21677550	21678221	19	processed_pseudogene	ENSG00000268433
32.53	69131351	69134814	4	unprocessed_pseudogene	ENSG00000250100
44.15	29213235	29216604	19	lncRNA	ENSG00000267498
46.44	36513255	36513732	2	lncRNA	ENSG00000273090
38.44	59218680	60100200	2	lncRNA	ENSG00000271955
41.70	65439838	65456571	2	lncRNA	ENSG00000234255
37.37	23492428	23512656	19	unprocessed_pseudogene	ENSG00000268100
42.05	89588714	89590097	3	processed_pseudogene	ENSG00000240309
45.37	127493505	127493828	4	processed_pseudogene	ENSG00000248209
34.08	89283016	89314604	3	lncRNA	ENSG00000285780
35.34	129612330	129771527	4	lncRNA	ENSG00000246876
49.75	48721719	48722518	17	protein_coding	ENSG00000159182
